"person_id","obs_id","sex","site","age_estimated","height_cm","weight_kg"
14145,"1t23r","m","Moseten",62.2,155.2,49.7
22566,"m3rjs","f","Moseten",70.7,151.3,53.5
11014,"9dn5a","m","Moseten",62.4,169.5,74.2
26282,"wkyx8","f","Moseten",51.3,155.2,58.3
18447,"b1ssj","m","Moseten",69.5,164.7,62.4
15519,"q74zn","f","Moseten",63.2,154,63.3
10121,"24wts","f","Moseten",76.5,142.2,40.2
9160,"5ncp5","m","Moseten",79.5,153.5,52.7
30349,"a63zs","m","Moseten",53.3,156,57.8
19696,"sj2u8","f","Moseten",48.4,152.3,51.3
13179,"pwktc","m","Moseten",48,160.2,67.6
5,"10lru","f","Moseten",44.9,151.8,68.5
